Concept,Relation,Description,"Target object (should appear in the ""Concept list"")",Max Cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"Other characteristics: symmetric, transitive, has some special behaviour or meaning?",Needed by,Standards
Plastic fittings,subClassOf,,Window fittings,,,,,
Steel,subClassOf,,Doors,,,,,
Aluminium,subClassOf,,Doors,,,,,
Wood,subClassOf,,Doors,,,,,
Plastic,subClassOf,,Doors,,,,,
Mechanical,subClassOf,,Drive system,,,,,
Electrical,subClassOf,,Drive system,,,,,
Heat generator,subClassOf,,Heating,,,,,
Heat distribution and dissipation,subClassOf,,Heating,,,,,
Storage,subClassOf,,Heating,,,,,
Ventilation system,subClassOf,,Air conditioning and ventilation,,,,,
Air conditioning/cooling machines,subClassOf,,Air conditioning and ventilation,,,,,
Accessory,subClassOf,,Air conditioning and ventilation,,,,,
Refrigerants,subClassOf,,Air conditioning and ventilation,,,,,
Sanitary ware,subClassOf,,Sanitary,,,,,
Mountings,subClassOf,,Sanitary,,,,,
Shower and bath tubs,subClassOf,,Sanitary,,,,,
Cable,subClassOf,,Electrical,,,,,
Switches and sockets,subClassOf,,Electrical,,,,,
Fuse and switch boxes,subClassOf,,Electrical,,,,,
Lighting,subClassOf,,Electrical,,,,,
Batteries,subClassOf,,Electrical,,,,,
Elevator,subClassOf,,Conveyance,,,,,
Escalator,subClassOf,,Conveyance,,,,,
